period,1_thu_nhap_lai_va_cac_khoan_thu_nhap_tuong_tu,2_chi_phi_lai_va_cac_chi_phi_tuong_tu,i_thu_nhap_lai_thuan,3_thu_nhap_tu_hoat_dong_dich_vu,4_chi_phi_hoat_dong_dich_vu,ii_lai_lo_thuan_tu_hoat_dong_dich_vu,iii_lai_lo_thuan_tu_hoat_dong_kinh_doanh_ngoai_hoi_va_vang,iv_lai_lo_thuan_tu_mua_ban_chung_khoan_kinh_doanh,v_lai_lo_thuan_tu_mua_ban_chung_khoan_dau_tu,5_thu_nhap_tu_hoat_dong_khac,6_chi_phi_hoat_dong_khac,vi_lai_lo_thuan_tu_hoat_dong_khac,vii_thu_nhap_tu_gop_von_mua_co_phan,viii_chi_phi_hoat_dong,ix_loi_nhuan_thuan_tu_hoat_dong_kinh_doanh_truoc_chi_phi_du_phong_rui_ro_tin_dung_i_ii_iii_iv_v_vi_vii_viii,x_chi_phi_du_phong_rui_ro_tin_dung,xi_tong_loi_nhuan_truoc_thue_ix_x,7_chi_phi_thue_tndn_hien_hanh,8_chi_phi_thue_tndn_hoan_lai,xii_chi_phi_thue_tndn,xiii_loi_nhuan_sau_thue_xi_xii,xiv_loi_ich_cua_co_dong_thieu_so,xv_loi_nhuan_sau_thue_cua_co_dong_cua_ngan_hang_me_xiii_xiv,lai_co_ban_tren_co_phieu_bctc_vnd
2026-Q1,19916548000000,11433526000000,8483022000000,970592000000,123523000000,847069000000,321875000000,-6177000000,48960000000,184847000000,16157000000,168690000000,89403000000,2587015000000,7365827000000,1258493000000,6107334000000,1232001000000,-26807000000,1205194000000,4902140000000,135498000000,4766642000000,952
2025-Q4,18877563000000,9121953000000,9755610000000,1155554000000,281196000000,874358000000,316501000000,4428000000,848331000000,446885000000,74968000000,371917000000,159141000000,3819923000000,8510363000000,1991086000000,6519277000000,1311429000000,-12308000000,1299121000000,5220156000000,112938000000,5107218000000,
2025-Q3,16133428000000,8370106000000,7763322000000,1490967000000,303799000000,1187168000000,343463000000,4397000000,4797000000,230738000000,72517000000,158221000000,55114000000,2487980000000,7028502000000,2294002000000,4734500000000,912792000000,22891000000,935683000000,3798817000000,152179000000,3646638000000,
2025-Q2,17989705000000,8170547000000,9819158000000,1874020000000,542460000000,1331560000000,423977000000,241355000000,19526000000,-211628000000,60710000000,-272338000000,72649000000,2782029000000,8853858000000,4141072000000,4712786000000,1015345000000,21382000000,1036727000000,3676059000000,161199000000,3514860000000,
2025-Q1,14991720000000,7583620000000,7408100000000,1177239000000,443949000000,733290000000,188241000000,389280000000,-16744000000,560161000000,81344000000,478817000000,23569000000,2524523000000,6680030000000,1324795000000,5355235000000,946338000000,51225000000,997563000000,4357672000000,122918000000,4234754000000,1212
2024-Q4,15148773000000,6946053000000,8202720000000,961068000000,537589000000,423479000000,234621000000,6162000000,141619000000,458422000000,64873000000,393549000000,45980000000,3540462000000,5907668000000,1831864000000,4075804000000,833194000000,5382000000,838576000000,3237228000000,122574000000,3114654000000,
2024-Q3,14221978000000,6448533000000,7773445000000,946414000000,534304000000,412110000000,123899000000,141710000000,-88800000000,163363000000,12779000000,150584000000,22024000000,2951077000000,5583895000000,1093488000000,4490407000000,957868000000,-13097000000,944771000000,3545636000000,121760000000,3423876000000,
2024-Q2,14245165000000,6525287000000,7719878000000,876036000000,651467000000,224569000000,310407000000,-279000000,-49917000000,140389000000,52031000000,88358000000,,3029780000000,5263236000000,1126231000000,4137005000000,879466000000,5687000000,885153000000,3251852000000,136961000000,3114891000000,
2024-Q1,14378929000000,7218579000000,7160350000000,512447000000,155685000000,356762000000,174886000000,-78664000000,65351000000,107688000000,34308000000,73380000000,,2454639000000,5297426000000,1269851000000,4027575000000,808137000000,6266000000,814403000000,3213172000000,103400000000,3109772000000,1075
2023-Q4,15559459000000,8086956000000,7472503000000,825654000000,233870000000,591784000000,283333000000,-92086000000,111106000000,149716000000,258697000000,-108981000000,,2630124000000,5627535000000,1242405000000,4385130000000,981425000000,-43910000000,937515000000,3447615000000,103720000000,3343895000000,
2023-Q3,13390888000000,8474740000000,4916148000000,444169000000,126210000000,317959000000,185863000000,29936000000,516324000000,118848000000,3951000000,114897000000,4101000000,2301873000000,3783355000000,636089000000,3147266000000,632108000000,,632108000000,2515158000000,34718000000,2480440000000,
2023-Q2,12671355000000,7716840000000,4954515000000,790742000000,189878000000,600864000000,145057000000,75910000000,515414000000,129369000000,7738000000,121631000000,,2238587000000,4174804000000,1433167000000,2741637000000,562109000000,,562109000000,2179528000000,20975000000,2158553000000,
2023-Q1,11018875000000,6178067000000,4840808000000,769603000000,92408000000,677195000000,-49550000000,27963000000,24161000000,143711000000,12105000000,131606000000,5224000000,1958618000000,3698789000000,956090000000,2742699000000,548987000000,,548987000000,2193712000000,105702000000,2088010000000,830
2022-Q4,9775550000000,4843448000000,4932102000000,936071000000,116054000000,820017000000,-65593000000,351000000,-3876000000,163947000000,-21898000000,185845000000,,2671102000000,3197744000000,945792000000,2251952000000,485901000000,-33400000000,452501000000,1799451000000,63167000000,1736284000000,
2022-Q3,8287175000000,3802325000000,4484850000000,790195000000,96922000000,693273000000,96502000000,-8813000000,-11513000000,160239000000,20267000000,139972000000,,2000925000000,3393346000000,680925000000,2712421000000,542934000000,,542934000000,2169487000000,153502000000,2015985000000,
2022-Q2,8079518000000,3528293000000,4551225000000,916555000000,81312000000,835243000000,80329000000,-12837000000,19346000000,144321000000,40608000000,103713000000,4533000000,2033070000000,3548482000000,772314000000,2776168000000,556075000000,,556075000000,2220093000000,140966000000,2079127000000,
2022-Q1,7181161000000,3137770000000,4043391000000,665634000000,57349000000,608285000000,22999000000,38285000000,308663000000,119619000000,21059000000,98560000000,2252000000,1925612000000,3196823000000,669308000000,2527515000000,507076000000,,507076000000,2020439000000,102040000000,1918399000000,963
2021-Q4,6774049000000,3021053000000,3752996000000,810794000000,69663000000,741131000000,91897000000,-9494000000,36982000000,208925000000,192602000000,16323000000,,1656610000000,2973225000000,988067000000,1985158000000,400350000000,-4062000000,396288000000,1588870000000,81683000000,1507187000000,
2021-Q3,6468666000000,3162384000000,3306282000000,376740000000,47826000000,328914000000,20574000000,35667000000,-11835000000,85251000000,58920000000,26331000000,,1411602000000,2294331000000,403307000000,1891024000000,377985000000,,377985000000,1513039000000,81974000000,1431065000000,
2021-Q2,6593587000000,3124886000000,3468701000000,593670000000,49698000000,543972000000,42453000000,54977000000,55665000000,121968000000,33725000000,88243000000,,1682984000000,2571027000000,477774000000,2093253000000,421778000000,,421778000000,1671475000000,119596000000,1551879000000,
2021-Q1,6339908000000,2977110000000,3362798000000,346529000000,33108000000,313421000000,24324000000,19782000000,396401000000,80131000000,28391000000,51740000000,,1631572000000,2536894000000,436712000000,2100182000000,420067000000,,420067000000,1680115000000,116727000000,1563388000000,981
2020-Q4,6212739000000,3000578000000,3212161000000,363957000000,42978000000,320979000000,93324000000,54445000000,24922000000,302934000000,44082000000,258852000000,,1872114000000,2092569000000,655763000000,1436806000000,282644000000,7677000000,290321000000,1146485000000,88249000000,1058236000000,
2020-Q3,6034635000000,3013052000000,3021583000000,292532000000,-36320000000,328852000000,30484000000,-17173000000,28065000000,124512000000,47795000000,76717000000,,1562467000000,1906061000000,432226000000,1473835000000,295149000000,,295149000000,1178686000000,87376000000,1091310000000,
2020-Q2,5437647000000,2657283000000,2780364000000,218143000000,76101000000,142042000000,18928000000,4212000000,119040000000,143637000000,13104000000,130533000000,260000000,1130489000000,2064890000000,407958000000,1656932000000,337135000000,-600000000,336535000000,1320397000000,109847000000,1210550000000,
2020-Q1,5452225000000,2568628000000,2883597000000,213642000000,55532000000,158110000000,24920000000,63695000000,-32218000000,59010000000,6269000000,52741000000,,1607759000000,1543086000000,292438000000,1250648000000,249343000000,,249343000000,1001305000000,112676000000,888629000000,922
2019-Q4,5419297000000,2531263000000,2888034000000,231492000000,70754000000,160738000000,54814000000,39223000000,2847000000,196880000000,-1118000000,197998000000,,1366195000000,1977459000000,407220000000,1570239000000,317162000000,-3264000000,313898000000,1256341000000,135303000000,1121038000000,
2019-Q3,4972939000000,2468069000000,2504870000000,193122000000,44005000000,149117000000,-296000000,14105000000,75491000000,118900000000,-8851000000,127751000000,,1284028000000,1587010000000,349486000000,1237524000000,248484000000,,248484000000,989040000000,90358000000,898682000000,
2019-Q2,4784781000000,2461040000000,2323741000000,192044000000,47871000000,144173000000,80905000000,-2674000000,33535000000,137438000000,36617000000,100821000000,27069000000,1292906000000,1414664000000,305733000000,1108931000000,213437000000,-734000000,212703000000,896228000000,110004000000,786224000000,
2019-Q1,4441050000000,2411140000000,2029910000000,174771000000,32923000000,141848000000,94380000000,29805000000,128076000000,51686000000,9973000000,41713000000,,1137368000000,1328364000000,226644000000,1101720000000,222994000000,,222994000000,878726000000,79904000000,798822000000,814
2018-Q4,4742202000000,2581037000000,2161165000000,132926000000,35649000000,97277000000,169545000000,-1885000000,6348000000,229745000000,4818000000,224927000000,,1184272000000,1473105000000,352401000000,1120704000000,205816000000,22823000000,228639000000,892065000000,112408000000,779657000000,
2018-Q3,4189507000000,2420801000000,1768706000000,142382000000,26941000000,115441000000,51052000000,16069000000,8126000000,133582000000,30561000000,103021000000,53618000000,1148111000000,967922000000,146552000000,821370000000,165739000000,,165739000000,655631000000,88496000000,567135000000,
2018-Q2,4082051000000,2197669000000,1884382000000,135663000000,21086000000,114577000000,55020000000,26835000000,166928000000,95610000000,5535000000,90075000000,26111000000,1099993000000,1263935000000,248139000000,1015796000000,195895000000,,195895000000,819901000000,81869000000,738032000000,
2018-Q1,3934542000000,2103102000000,1831440000000,130078000000,19199000000,110879000000,22698000000,83317000000,160114000000,87853000000,15715000000,72138000000,22431000000,1009080000000,1293937000000,247179000000,1046758000000,212844000000,,212844000000,833914000000,76654000000,757260000000,772
2017-Q4,3937743000000,2192925000000,1744818000000,98893000000,25622000000,73271000000,7481000000,-1972000000,-18323000000,147223000000,26037000000,121186000000,250000000,1158046000000,768665000000,264160000000,504505000000,91592000000,-3927000000,87665000000,416840000000,68147000000,348693000000,
2017-Q3,3998059000000,2134173000000,1863886000000,53125000000,18015000000,35110000000,32138000000,5234000000,342925000000,128246000000,5959000000,122287000000,37000000,1051472000000,1350145000000,318952000000,1031193000000,206660000000,,206660000000,824533000000,45560000000,778973000000,
2017-Q2,3604475000000,2194451000000,1410024000000,64382000000,13781000000,50601000000,56288000000,3898000000,117189000000,67999000000,36856000000,31143000000,43098000000,990128000000,722113000000,228392000000,493721000000,90297000000,,90297000000,403424000000,51775000000,351649000000,
2017-Q1,3418804000000,2062707000000,1356097000000,56903000000,24638000000,32265000000,34006000000,-1452000000,43105000000,27145000000,5078000000,22067000000,495000000,893980000000,592603000000,205256000000,387347000000,77751000000,,77751000000,309596000000,42438000000,267158000000,
2016-Q4,3280553000000,1903018000000,1377535000000,48750000000,19572000000,29178000000,56907000000,45120000000,117868000000,127761000000,49070000000,78691000000,,992130000000,713169000000,210353000000,502816000000,95590000000,6325000000,101915000000,400901000000,48046000000,352855000000,
2016-Q3,2931153000000,1754746000000,1176407000000,55442000000,13896000000,41546000000,44123000000,33356000000,5341000000,25035000000,7870000000,17165000000,8810000000,831101000000,495647000000,353320000000,142327000000,26981000000,,26981000000,115346000000,49424000000,65922000000,
2016-Q2,2747242000000,1574437000000,1172805000000,43019000000,13030000000,29989000000,52126000000,-16569000000,20065000000,17284000000,6676000000,10608000000,128020000000,769277000000,627767000000,286389000000,341378000000,43606000000,,43606000000,297772000000,43133000000,254639000000,
2016-Q1,2426913000000,1405988000000,1020925000000,39051000000,11735000000,27316000000,46400000000,20596000000,7885000000,40102000000,30405000000,9697000000,454000000,700006000000,433267000000,143543000000,289724000000,59065000000,,59065000000,230659000000,35762000000,194897000000,241
2015-Q3,1955673000000,1177298000000,778375000000,75386000000,12729000000,62657000000,9340000000,719000000,3225000000,9679000000,5923000000,3756000000,16783000000,599775000000,275080000000,211641000000,63439000000,13698000000,,13698000000,49741000000,25296000000,24445000000,
2015-Q2,1773429000000,1058790000000,714639000000,229646000000,11972000000,217674000000,8293000000,1965000000,-41345000000,7889000000,5580000000,2309000000,13331000000,577269000000,339597000000,167411000000,172186000000,35834000000,,35834000000,136352000000,13547000000,122805000000,
2015-Q1,1811196000000,1129902000000,681294000000,44859000000,10902000000,33957000000,277000000,,28324000000,10771000000,11428000000,-657000000,2292000000,474916000000,270571000000,104288000000,166283000000,35043000000,,35043000000,131240000000,,131240000000,
2014-Q1,1518506893241,1199785974375,318720918866,52548552389,11256668725,41291883664,11767715805,,62471022157,14036084659,3308900203,10727184456,120000000,408874392182,36224332766,5074165268,31150167498,7847513626,,7847513626,23302653872,,23302653872,
2013-Q3,1334909158980,1108730442639,226178716341,22066839794,6777394178,15289445616,-24633158579,,9724225448,12675806043,1194654047,11481151996,26115734777,236793212534,27362903065,19610290404,7752612661,1515196106,,1515196106,6237416555,,6237416555,
2013-Q2,1206097065531,1211362761590,-5265696059,16063776530,6190483554,9873292976,-5972299997,15670641975,111596139560,-21534151,7064943519,-7086477670,115781920549,134157885247,100439636087,36538586453,63901049634,-12905631633,,-12905631633,76806681267,,76806681267,
2013-Q1,1244199493368,1113791055022,130408438346,11671484742,4891367681,6780117061,-3906474729,,28788264966,171846495486,219450705,171627044781,819693600,212386252601,122130831424,47312985867,74817845557,18511746193,,18511746193,56306099364,,56306099364,
